year,month,avg_risk_prob,max_risk_prob,n_alerts,n_districts,actual_drought_months,alert_share,actual_drought_share
2023,1,0.33643247155682143,0.4416473512304362,13,14,6,0.9285714285714286,0.42857142857142855
2023,2,0.2686755791655322,0.4055701964953122,11,14,0,0.7857142857142857,0.0
2023,3,0.1507443190002639,0.2170599935272758,2,14,1,0.14285714285714285,0.07142857142857142
2023,4,0.10669244788608116,0.2870182294262043,1,14,1,0.07142857142857142,0.07142857142857142
2023,5,0.04631278910302628,0.2518296520788323,1,14,1,0.07142857142857142,0.07142857142857142
2023,6,0.07858879597978426,0.3998128515175723,2,14,1,0.14285714285714285,0.07142857142857142
2023,7,0.041577879814150044,0.2493218899313307,1,14,0,0.07142857142857142,0.0
2023,8,0.08184495668472845,0.2593129682028532,2,14,3,0.14285714285714285,0.21428571428571427
2023,9,0.28940049458304706,0.4603334148387186,12,14,3,0.8571428571428571,0.21428571428571427
2023,10,0.22892491050381172,0.3665510503857669,8,14,7,0.5714285714285714,0.5
2023,11,0.35981467625035973,0.6039604524051866,12,14,12,0.8571428571428571,0.8571428571428571
2023,12,0.5125155713281146,0.7819933622181293,14,14,9,1.0,0.6428571428571429
2024,1,0.47506551031256217,0.6851992733471569,14,14,2,1.0,0.14285714285714285
2024,2,0.4251203744741126,0.6248419922003479,14,14,0,1.0,0.0
2024,3,0.16036238070416178,0.2638639732080626,5,14,2,0.35714285714285715,0.14285714285714285
2024,4,0.09332765463908203,0.2201074564022161,1,14,4,0.07142857142857142,0.2857142857142857
2024,5,0.09617901070330313,0.4142805724631079,2,14,2,0.14285714285714285,0.14285714285714285
2024,6,0.0929348214519385,0.3764890221079475,3,14,0,0.21428571428571427,0.0
2024,7,0.05892292065609602,0.2039826037309996,1,14,0,0.07142857142857142,0.0
2024,8,0.10279164092319391,0.331849777303058,3,14,0,0.21428571428571427,0.0
2024,9,0.2597235289613761,0.4417576985001512,9,14,1,0.6428571428571429,0.07142857142857142
2024,10,0.2814513126711167,0.5297708066958375,12,14,2,0.8571428571428571,0.14285714285714285
2024,11,0.2769122258858189,0.6267293939065887,9,14,14,0.6428571428571429,1.0
2024,12,0.5431870740621269,0.8474441650556575,14,14,4,1.0,0.2857142857142857
2025,1,0.5619551299854267,0.7881134592428695,14,14,1,1.0,0.07142857142857142
2025,2,0.3066813594412688,0.4668285832228744,14,14,2,1.0,0.14285714285714285
2025,3,0.14228644359781512,0.2453433957880729,1,14,0,0.07142857142857142,0.0
2025,4,0.09958385810271501,0.226385566794906,1,14,0,0.07142857142857142,0.0
2025,5,0.07299768688865176,0.2841567942880676,1,14,0,0.07142857142857142,0.0
2025,6,0.0941365417358884,0.4056319429240603,2,14,0,0.14285714285714285,0.0
2025,7,0.08150930364230655,0.242613182656307,1,14,0,0.07142857142857142,0.0
2025,8,0.08127459775516743,0.1685716153509028,0,14,3,0.0,0.21428571428571427
2025,9,0.20843755358051655,0.3511806828153934,6,14,6,0.42857142857142855,0.42857142857142855
2025,10,0.2312153394956456,0.3179637137845345,12,14,1,0.8571428571428571,0.07142857142857142
